Dataset,Variation,File,Metric,Value
asia,base,asia_1000_original.csv,Accuracy,0.865
asia,base,asia_1000_original.csv,F1 Score,0.8658529980657639
asia,base,asia_5000_original.csv,Accuracy,0.834
asia,base,asia_5000_original.csv,F1 Score,0.8346968283582089
asia,base,asia_10000_original.csv,Accuracy,0.845
asia,base,asia_10000_original.csv,F1 Score,0.8457146702570745
asia,flipped,asia_10000_flipped_0.2.csv,Accuracy,0.845
asia,flipped,asia_10000_flipped_0.2.csv,F1 Score,0.8457146702570745
asia,flipped,asia_10000_flipped_0.05.csv,Accuracy,0.845
asia,flipped,asia_10000_flipped_0.05.csv,F1 Score,0.8457146702570745
asia,flipped,asia_10000_flipped_0.1.csv,Accuracy,0.845
asia,flipped,asia_10000_flipped_0.1.csv,F1 Score,0.8457146702570745
asia,flipped,asia_1000_flipped_0.1.csv,Accuracy,0.865
asia,flipped,asia_1000_flipped_0.1.csv,F1 Score,0.8658529980657639
asia,flipped,asia_1000_flipped_0.2.csv,Accuracy,0.865
asia,flipped,asia_1000_flipped_0.2.csv,F1 Score,0.8658529980657639
asia,flipped,asia_1000_flipped_0.05.csv,Accuracy,0.865
asia,flipped,asia_1000_flipped_0.05.csv,F1 Score,0.8658529980657639
asia,flipped,asia_5000_flipped_0.05.csv,Accuracy,0.834
asia,flipped,asia_5000_flipped_0.05.csv,F1 Score,0.8346968283582089
asia,flipped,asia_5000_flipped_0.1.csv,Accuracy,0.834
asia,flipped,asia_5000_flipped_0.1.csv,F1 Score,0.8346968283582089
asia,flipped,asia_5000_flipped_0.2.csv,Accuracy,0.834
asia,flipped,asia_5000_flipped_0.2.csv,F1 Score,0.8346968283582089
asia,missing,asia_5000_missing_0.5.csv,Accuracy,0.6850715746421268
asia,missing,asia_5000_missing_0.5.csv,F1 Score,0.682475390490431
asia,missing,asia_5000_missing_0.3.csv,Accuracy,0.7695590327169275
asia,missing,asia_5000_missing_0.3.csv,F1 Score,0.7690979606495499
asia,missing,asia_5000_missing_0.1.csv,Accuracy,0.8252212389380531
asia,missing,asia_5000_missing_0.1.csv,F1 Score,0.8257841920742162
asia,missing,asia_10000_missing_0.1.csv,Accuracy,0.8150609080841639
asia,missing,asia_10000_missing_0.1.csv,F1 Score,0.815776633755167
asia,missing,asia_10000_missing_0.3.csv,Accuracy,0.7637906647807637
asia,missing,asia_10000_missing_0.3.csv,F1 Score,0.7648095855750021
asia,missing,asia_10000_missing_0.5.csv,Accuracy,0.7326633165829146
asia,missing,asia_10000_missing_0.5.csv,F1 Score,0.7256072880593902
asia,missing,asia_1000_missing_0.3.csv,Accuracy,0.6906474820143885
asia,missing,asia_1000_missing_0.3.csv,F1 Score,0.6909405991025467
asia,missing,asia_1000_missing_0.1.csv,Accuracy,0.8351648351648352
asia,missing,asia_1000_missing_0.1.csv,F1 Score,0.8357692912148358
asia,missing,asia_1000_missing_0.5.csv,Accuracy,0.6666666666666666
asia,missing,asia_1000_missing_0.5.csv,F1 Score,0.6656319290465632
alarm,base,alarm_1000_original.csv,Accuracy,0.985
alarm,base,alarm_1000_original.csv,F1 Score,0.9849020114571219
alarm,base,alarm_5000_original.csv,Accuracy,0.993
alarm,base,alarm_5000_original.csv,F1 Score,0.9927386441296435
alarm,base,alarm_10000_original.csv,Accuracy,0.9925
alarm,base,alarm_10000_original.csv,F1 Score,0.9923613505421434
alarm,flipped,alarm_1000_flipped_0.05.csv,Accuracy,0.985
alarm,flipped,alarm_1000_flipped_0.05.csv,F1 Score,0.9849020114571219
alarm,flipped,alarm_1000_flipped_0.2.csv,Accuracy,0.985
alarm,flipped,alarm_1000_flipped_0.2.csv,F1 Score,0.9849020114571219
alarm,flipped,alarm_5000_flipped_0.05.csv,Accuracy,0.993
alarm,flipped,alarm_5000_flipped_0.05.csv,F1 Score,0.9927386441296435
alarm,flipped,alarm_1000_flipped_0.1.csv,Accuracy,0.985
alarm,flipped,alarm_1000_flipped_0.1.csv,F1 Score,0.9849020114571219
alarm,flipped,alarm_5000_flipped_0.2.csv,Accuracy,0.993
alarm,flipped,alarm_5000_flipped_0.2.csv,F1 Score,0.9927386441296435
alarm,flipped,alarm_5000_flipped_0.1.csv,Accuracy,0.993
alarm,flipped,alarm_5000_flipped_0.1.csv,F1 Score,0.9927386441296435
alarm,flipped,alarm_10000_flipped_0.2.csv,Accuracy,0.9925
alarm,flipped,alarm_10000_flipped_0.2.csv,F1 Score,0.9923613505421434
alarm,flipped,alarm_10000_flipped_0.1.csv,Accuracy,0.9925
alarm,flipped,alarm_10000_flipped_0.1.csv,F1 Score,0.9923613505421434
alarm,flipped,alarm_10000_flipped_0.05.csv,Accuracy,0.9925
alarm,flipped,alarm_10000_flipped_0.05.csv,F1 Score,0.9923613505421434
alarm,missing,alarm_10000_missing_0.1.csv,Accuracy,0.9927414852037968
alarm,missing,alarm_10000_missing_0.1.csv,F1 Score,0.9924656339235184
alarm,missing,alarm_10000_missing_0.3.csv,Accuracy,0.9814152966404575
alarm,missing,alarm_10000_missing_0.3.csv,F1 Score,0.9797584688731843
alarm,missing,alarm_5000_missing_0.5.csv,Accuracy,0.9573170731707317
alarm,missing,alarm_5000_missing_0.5.csv,F1 Score,0.9549191492398514
alarm,missing,alarm_5000_missing_0.1.csv,Accuracy,0.9933554817275747
